line_number,ground_truth,transcription,cer,wer,document_id,method
22,abwendungen/ Den̄ wen min geſellen ir gemüt vnd ver.,abwendungen/¬ Den wen min geſellen ir gemút vnd ver.,0.057692307692307696,0.3333333333333333,7474188,gemini
23,truwen nit zuͦ mir geſetzt hetten/ ſo mir bekantlich was d̓,truwen nit zu mir gesetzt hetten/ ſo mir bekantlich was 8,0.06779661016949153,0.2727272727272727,7474188,gemini
24,groſſen welt lantſterlugūg vnd gelegenheit ſo weis kein,groſſen welt lantſterlugung vnd gelegenheit ſo weis kein,0.03636363636363636,0.125,7474188,gemini
25,ſchiffman oder wegwiſer vnßer fart der ioch by fünffhū,ſchiffman oder wegwiſer vnßer fart der ioch by funffhū,0.018518518518518517,0.1111111111111111,7474188,gemini
26,dert milen wußte wō wir waren/ Denn wir waren vmb¬,dert milen wußte wo wir waren./ Denn wir vmb¬,0.16,0.3,7474188,gemini
27,ſchweiffig vnd irrig/ Den̄ allein der himelſchen zeichen,ſchweiffig vnd irrig/ Denn allein der himelſchen zeichen,0.017857142857142856,0.125,7474188,gemini
28,hohe waren vns zuͦbewiſung vnd zoͤugten vns warheyt,hohe waren vns zuͤbewisung vnd zōugten vns warheyt,0.0784313725490196,0.25,7474188,gemini
29,verlorner dingen vnd die ſelben waren vns der quadrāt,verlorner dingen vnd die ſelben waren vns der quadrat,0.018867924528301886,0.1111111111111111,7474188,gemini
30,vnd das Aſtralabium als ſy alle erkantē/ Hie von ſi alle,vnd das Aſtralabium als ſy alle erkantē/ hie von ſi alle,0.017857142857142856,0.18181818181818182,7474188,gemini
31,mich in groſſen eren hielten/ Denn ich zoigt inen das on,"mich in groſſen eren hielten, Denn ich zoigt inen das on",0.017857142857142856,0.09090909090909091,7474188,gemini
32,die verſchreibnen meres karten kunſt der ſchiffung ich be,Die verſchreibnen meres karten kunſt der ſchifflung ich be,0.03508771929824561,0.2222222222222222,7474188,gemini
33,richter was dan̄ alle Schiffherren der gantzen welt den̄,richter was dā alle Schiffherren der gantzen welt dē,0.10714285714285714,0.2222222222222222,7474188,gemini
34,A iii,A iii,0.0,0.0,7474188,gemini
