line_number,ground_truth,prediction,transkribus,cer,wer,bwer
17,lerley viſchen überflüſſig/ Da ſynd nit ieger vn̄ ich mein,lerley vischen überflüßig/ Da synd nit ieger vn̄ ich mein,lerley vischen überflüssig / Sa synd nit ieger vn̄ ich mein,0.06896551724137931,0.3,0.3
18,ſo da ſynd vil wilder waldthieren geſchlecht vnd beſund̓,so da synd vil wilder waldthieren geschlecht vnd Besvnd,so da synd vil wilder waldthieren geschlecht vnd Besuns,0.125,0.4444444444444444,0.4444444444444444
19,lowen vnd beren vnd on zall vil ſchlangen vnd anderer,lowen vnd beren vnd on zall vil schlangen vnd anderer,lowen vnd beren vnd onzall vil schlangen vnnd anderer,0.018867924528301886,0.1,0.1
20,gruſelichen vnd vngeſtalten dieren/ Dar zu vnd als an,gruselichen vnd vngestaltēn dieren / Dar zu vnd als an,gruselichen vnd vngestalten dieren / Sar zu vnd als an,0.07547169811320754,0.4444444444444444,0.4444444444444444
21,denen enden lang vnd breyt weld vnnd baum über alle,henen enden lang vnd breyt meld vnnd Baum über alle,denen enden lang vnd breyt weld vnnd Baum über alle,0.058823529411764705,0.3,0.3
22,maß groß vnd ſo ſy nackend ſynd gethuͤren ſy ſich ſolich,mass groß vnd so sy nackend synd gethiuren sy sich solich,maß groß vnd so sy nackend synd gethüren sy sich solich,0.17857142857142858,0.7272727272727273,0.7272727272727273
23,er dingen nit vnder ſtan on waffen/ Das ertrich diſer,er dingen nit vnder stan on waſſen / Das ertrich diser,er dingen nit vnder stan onwaffen / Das ertrich diser,0.09433962264150944,0.4,0.4
24,landen vnnd region iſt faſt fruchtbar vnd luſtiger an¬,landen vnnd region ist fast fruchtbar vnd lustiger an,landen vnnd region ist fast fruchtbar vnd lustiger an¬,0.07407407407407407,0.4444444444444444,0.4444444444444444
25,ſehung vnd von vil bergen vnd Buͦhelen vnd on zall vil,sehung vnd von vil Bergen vnd Bvͤhelen vnd on zall vil,sehung vnd von vil bergen vnd Buͤhelen vnd onzall vil,0.07407407407407407,0.2727272727272727,0.2727272727272727
26,Theler vnnd mit faſt groſſen flieſſenden waſſeren/ über,Theler vnnd mit fast grossen fliessenden wasseren / über,Theler vnnd mit fast grossen fliessen wasseren  über,0.14545454545454545,0.625,0.625
27,flüſſig/ Und von guͦten heylſamē brunnen gefuchtet vn̄,flüssig / Und von guͤten heylsame Brvnnen gesuchtet vn̄,flüssig / End von guͤten heylsame Brunnen gefuchtet vn̄,0.16666666666666666,0.75,0.75
28,mit groſſen breytten welden vnnd dick die kum̄ vnnd,mit grossen Breytten welden vnnd dick die kun̄ vnnd,mit grossen breytten welden vnnd dick die kun̄ unnd,0.0784313725490196,0.3333333333333333,0.3333333333333333
29,ſchwarlich moͤgen durchgangen werden vnnd die von,schwarlich mögen durchgangen werden vnnd die von,schwarlich moͤgen durchgangen werden vnnd die von,0.061224489795918366,0.2857142857142857,0.2857142857142857
30,allerley willden thyeren vnderſcheid voll vnd überſetzt/,allerley wilden thyeren vnderscheid voll vnd übersetzt,allerley wilden thyeren vnderscheid voll vnd übersetzt ,0.07142857142857142,0.42857142857142855,0.42857142857142855
31,Da wachßen ſelbs on alle der lüten zuͦthon vnd arbeytt,Da wachͦen selb̄e on alle der lüͤten züͤthon vnd arbeytͦ,Da wachsen selbs on alle der lüten zuͤthon vnd arbeytt,0.14814814814814814,0.5,0.5
32,die aller groͤſten boum/ Und vnder den ſelben vil die frü,die aller groͤsten boum/ Vnd vnder den selb̄en vil die fruͤt,die aller groͤsten boum/ And vnder den selben vil die frü,0.12280701754385964,0.36363636363636365,0.36363636363636365
